Drill Listing
=============
Drill: .008  Tool: 1  Feed: 0  Speed: 0
X 543503  Y 418897
X 551968  Y 350393
X 551968  Y 347244
X 551968  Y 344094
X 551968  Y 340944
X 551968  Y 337795
X 551968  Y 331496
X 551968  Y 328346
X 551968  Y 322047
X 551968  Y 200787
X 551968  Y 197637
X 551968  Y 194488
X 551968  Y 191338
X 551968  Y 188188
X 551968  Y 181889
X 551968  Y 178740
X 551968  Y 172440
X 533070  Y 135826
X 544094  Y 135826
X 538582  Y 135826
X 576377  Y 126771
X 564566  Y 169291
X 567716  Y 169291
X 577165  Y 169291
X 555118  Y 169291
X 574015  Y 169291
X 558267  Y 169291
X 561417  Y 169291
X 567716  Y 172440
X 564566  Y 172440
X 577165  Y 172440
X 555118  Y 172440
X 558267  Y 172440
X 561417  Y 172440
X 574015  Y 172440
X 567716  Y 175590
X 577165  Y 175590
X 558267  Y 175590
X 555118  Y 175590
X 564566  Y 175590
X 574015  Y 175590
X 561417  Y 175590
X 567716  Y 178740
X 574015  Y 178740
X 577165  Y 178740
X 555118  Y 178740
X 561417  Y 178740
X 564566  Y 178740
X 558267  Y 178740
X 561417  Y 181889
X 577165  Y 181889
X 564566  Y 181889
X 555118  Y 181889
X 574015  Y 181889
X 558267  Y 181889
X 567716  Y 181889
X 577165  Y 188188
X 567716  Y 188188
X 574015  Y 188188
X 561417  Y 188188
X 555118  Y 188188
X 558267  Y 188188
X 564566  Y 188188
X 558267  Y 191338
X 564566  Y 191338
X 561417  Y 191338
X 567716  Y 191338
X 574015  Y 191338
X 555118  Y 191338
X 577165  Y 191338
X 564566  Y 194488
X 567716  Y 194488
X 574015  Y 194488
X 577165  Y 194488
X 555118  Y 194488
X 561417  Y 194488
X 558267  Y 194488
X 577165  Y 197637
X 555118  Y 197637
X 574015  Y 197637
X 561417  Y 197637
X 567716  Y 197637
X 558267  Y 197637
X 564566  Y 197637
X 574015  Y 200787
X 567716  Y 200787
X 577165  Y 200787
X 558267  Y 200787
X 555118  Y 200787
X 564566  Y 200787
X 561417  Y 200787
X 561417  Y 203937
X 574015  Y 203937
X 558267  Y 203937
X 577165  Y 203937
X 564566  Y 203937
X 567716  Y 203937
X 555118  Y 203937
X 558267  Y 318897
X 567716  Y 318897
X 564566  Y 318897
X 577165  Y 318897
X 574015  Y 318897
X 555118  Y 318897
X 561417  Y 318897
X 574015  Y 322047
X 577165  Y 322047
X 567716  Y 322047
X 555118  Y 322047
X 561417  Y 322047
X 564566  Y 322047
X 558267  Y 322047
X 577165  Y 325196
X 564566  Y 325196
X 558267  Y 325196
X 555118  Y 325196
X 574015  Y 325196
X 561417  Y 325196
X 567716  Y 325196
X 564566  Y 328346
X 561417  Y 328346
X 574015  Y 328346
X 555118  Y 328346
X 558267  Y 328346
X 577165  Y 328346
X 567716  Y 328346
X 564566  Y 331496
X 555118  Y 331496
X 561417  Y 331496
X 558267  Y 331496
X 577165  Y 331496
X 567716  Y 331496
X 574015  Y 331496
X 561417  Y 337795
X 564566  Y 337795
X 574015  Y 337795
X 567716  Y 337795
X 577165  Y 337795
X 555118  Y 337795
X 558267  Y 337795
X 574015  Y 340944
X 558267  Y 340944
X 577165  Y 340944
X 555118  Y 340944
X 567716  Y 340944
X 561417  Y 340944
X 564566  Y 340944
X 567716  Y 344094
X 564566  Y 344094
X 577165  Y 344094
X 561417  Y 344094
X 558267  Y 344094
X 574015  Y 344094
X 555118  Y 344094
X 577165  Y 347244
X 558267  Y 347244
X 564566  Y 347244
X 555118  Y 347244
X 561417  Y 347244
X 567716  Y 347244
X 574015  Y 347244
X 567716  Y 350393
X 558267  Y 350393
X 555118  Y 350393
X 577165  Y 350393
X 574015  Y 350393
X 561417  Y 350393
X 564566  Y 350393
X 567716  Y 353543
X 558267  Y 353543
X 577165  Y 353543
X 561417  Y 353543
X 574015  Y 353543
X 564566  Y 353543
X 555118  Y 353543
X 575984  Y 425984
X 555118  Y 468503
X 561417  Y 468503
X 564566  Y 468503
X 567716  Y 468503
X 574015  Y 468503
X 558267  Y 468503
X 577165  Y 468503
X 561417  Y 471653
X 555118  Y 471653
X 564566  Y 471653
X 558267  Y 471653
X 574015  Y 471653
X 567716  Y 471653
X 577165  Y 471653
