Drill Listing
=============
Drill: .012  Tool: 1  Feed: 95  Speed: 300
X 15390  Y -173201
X 14361  Y -148222
X 18056  Y -123497
X 48818  Y -111417
X 18897  Y -90551
X 51968  Y -85039
X 33858  Y -76377
X 51968  Y -71409
X 38656  Y -34289
X 32077  Y 23971
X 14361  Y 53099
X 14361  Y 78099
X 14361  Y 103099
X 14361  Y 128099
X 14361  Y 153099
X 19709  Y 177520
X 37387  Y 195198
X 61393  Y 202174
X 63572  Y 46862
X 86988  Y 24398
X 59668  Y 21866
X 85826  Y -22834
X 98405  Y -23622
X 74777  Y -31251
X 98425  Y -37007
X 92125  Y -37007
X 85826  Y -37007
X 79527  Y -37007
X 103937  Y -66929
X 66141  Y -73228
X 66141  Y -87401
X 95275  Y -89763
X 66141  Y -100000
X 61417  Y -146850
X 105370  Y -202174
X 80370  Y -202174
X 130370  Y -202174
X 155370  Y -202174
X 107874  Y -105511
X 148031  Y -48818
X 117322  Y -37007
X 111023  Y -37007
X 123622  Y -37007
X 129921  Y -37007
X 111043  Y -22834
X 123622  Y -22834
X 155905  Y 22834
X 111227  Y 35333
X 119976  Y 202174
X 144976  Y 202174
X 169976  Y 202174
X 194976  Y 202174
X 174015  Y -142519
X 205370  Y -202174
X 180370  Y -202174
X 230370  Y -202174
X 255370  Y -202174
X 280370  Y -202174
X 276377  Y -182086
X 247244  Y -165167
X 252362  Y -144881
X 275590  Y -108661
X 275590  Y -79894
X 251968  Y 23228
X 274590  Y 40170
X 270866  Y 45669
X 256692  Y 45669
X 236220  Y 133858
X 236624  Y 155249
X 236624  Y 180249
X 242625  Y 202174
X 267625  Y 202174
X 292625  Y 202174
X 317625  Y 202174
X 296049  Y 27346
X 319473  Y 18610
X 308548  Y -3876
X 308548  Y -28876
X 326275  Y -31413
X 321259  Y -51181
X 302362  Y -74803
X 319971  Y -97319
X 291338  Y -106062
X 308661  Y -154527
X 311811  Y -159055
X 329921  Y -185826
X 305370  Y -202174
X 342565  Y -202174
X 334251  Y -194094
X 349606  Y -166929
X 353543  Y -144881
X 344881  Y -74015
X 338563  Y -50610
X 346456  Y -16535
X 338643  Y -4373
X 332395  Y -624
X 356000  Y -574
X 350514  Y 4724
X 353638  Y 17322
X 347431  Y 22911
X 345516  Y 28116
X 348038  Y 59217
X 337795  Y 88188
X 342625  Y 202174
X 367625  Y 202174
X 392625  Y 202174
X 379527  Y 166929
X 400000  Y 137795
X 399212  Y 114960
X 383464  Y 90551
X 368503  Y 66929
X 361136  Y 28116
X 361367  Y 624
X 374015  Y -77952
X 378740  Y -89370
X 378740  Y -97244
X 397637  Y -102362
X 391732  Y -110236
X 375590  Y -130413
X 365354  Y -153543
X 403708  Y -177283
X 370866  Y -183070
X 370866  Y -188976
X 396062  Y -193858
X 403555  Y -202174
X 367565  Y -202174
X 430708  Y -201181
X 450393  Y -186220
X 440157  Y -184251
X 433858  Y -184251
X 416149  Y -175106
X 420472  Y -170078
X 428346  Y -150393
X 428346  Y -139370
X 450787  Y -123622
X 414960  Y -122834
X 422440  Y -117716
X 450787  Y -114566
X 412598  Y -100000
X 451181  Y -100000
X 447600  Y -88200
X 440546  Y -82806
X 448031  Y 109448
X 432381  Y 114790
X 417625  Y 202174
X 442625  Y 202174
X 467625  Y 202174
X 492625  Y 202174
X 474803  Y 139370
X 462024  Y 115701
X 467352  Y 114338
X 475590  Y 85039
X 471259  Y -129527
X 491338  Y -151968
X 480314  Y -189763
X 485039  Y -189763
X 465154  Y -189763
X 503149  Y -193700
X 478346  Y -198818
X 517227  Y -199990
X 542227  Y -199990
X 550481  Y -175068
X 509448  Y -174409
X 521653  Y -151968
X 509074  Y -115233
X 513385  Y -88976
X 525196  Y -80314
X 555905  Y -38582
X 549606  Y 51562
X 548031  Y 59055
X 554330  Y 83464
X 533858  Y 118110
X 533858  Y 124409
X 551181  Y 127559
X 525459  Y 128084
X 529921  Y 140157
X 517625  Y 202174
X 542625  Y 202174
X 567625  Y 202174
X 592625  Y 202174
X 570078  Y 140157
X 597305  Y 135424
X 572815  Y 130401
X 596687  Y 129959
X 583566  Y 129959
X 565354  Y 83464
X 592125  Y 62204
X 576068  Y 61230
X 592125  Y 50393
X 576068  Y 49984
X 562322  Y 33739
X 593700  Y 2362
X 577165  Y -72440
X 562962  Y -78060
X 569291  Y -113385
X 562326  Y -128052
X 562326  Y -153052
X 599750  Y -159822
X 599750  Y -176614
X 604500  Y -183750
X 592227  Y -199990
X 567227  Y -199990
X 617227  Y -199990
X 642227  Y -199990
X 648000  Y -183750
X 652011  Y -177076
X 652250  Y -152736
X 635629  Y -122500
X 616750  Y -122500
X 646250  Y -76250
X 610236  Y 2362
X 607791  Y 112729
X 617625  Y 202174
X 642625  Y 202174
X 667625  Y 202174
X 692625  Y 202174
X 717625  Y 202174
X 718897  Y -70866
X 693700  Y -70866
X 700000  Y -105511
X 711811  Y -111811
X 684251  Y -145559
X 730708  Y -159055
X 717227  Y -199990
X 667227  Y -199990
X 692227  Y -199990
X 742227  Y -199990
X 767227  Y -199990
X 761417  Y -176377
X 772716  Y -174015
X 759842  Y -135433
X 758566  Y -71414
X 770866  Y -40944
X 742519  Y -7874
X 756692  Y 157480
X 742625  Y 202174
X 767625  Y 202174
X 792625  Y 202174
X 817625  Y 202174
X 842625  Y 202174
X 852755  Y 165354
X 847244  Y 22047
X 811023  Y 22047
X 807086  Y -67716
